data,turno,codigo,descricao,quantidade,unidade,local,motivo
2026-01-04 00:00:00,1,2201856,TINTA SPRAY VERMELHO,2,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2201857,TINTA SPRAY VERDE,2,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2182844,TINTA SPRAY BRANCO,2,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2180855,TINTA SPRAY AMARELO,2,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",3,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2210714,MARCADOR IND ESFRROGR DYKEN MEDIO BRANCO (CANETA),2,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2217817,MARCADOR INDUSTRIAL BRANCO,1,un,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,5,lt,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,2196584,TINTA PARA REA-JET 040,5,fr,Distribuição Q&T,Consumo
2026-01-04 00:00:00,1,1511467,PILHA ALCALINA AA,2,un,Distribuição Q&T,Consumo
2026-01-05 00:00:00,1,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,10,un,Distribuição Q&T,Consumo
2026-01-05 00:00:00,1,2210714,MARCADOR IND ESFRROGR DYKEN MEDIO BRANCO (CANETA),2,un,Distribuição Q&T,Consumo
2026-01-05 00:00:00,1,2217817,MARCADOR INDUSTRIAL BRANCO,1,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,2182844,TINTA SPRAY BRANCO,3,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,2180855,TINTA SPRAY AMARELO,3,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,2201856,TINTA SPRAY VERMELHO,2,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,1478150,TINTA SPRAY PRETO,2,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,2210714,MARCADOR IND ESFRROGR DYKEN MEDIO BRANCO (CANETA),2,un,Distribuição Q&T,Consumo
2026-01-08 00:00:00,1,2217817,MARCADOR INDUSTRIAL BRANCO,1,un,Distribuição Q&T,Consumo
