data_reserva,responsavel,codigo,descricao,quantidade,unidade,cc,reserva,data_entrega,laudo,quantidade_recebida,pendencia,responsavel_recebimento
2025-10-28 00:00:00,Diana,2228360,FUNIL REF 110-05 COBEL P/ USO GERAL,1,pç,50013125,33287288,2025-10-18 00:00:00,Aprovado,1,0,Diana Maia
2025-11-16 00:00:00,Dyego,5004333,SOLVENTE ECOLÓGICO REF MP213/V 20L,4,pç,50012127,33363196,2025-11-27 00:00:00,Aprovado,4,0,Diana Maia
2025-11-16 00:00:00,Dyego,2196584,TINTA PARA REA-JET 040,48,lt,50012127,33363196,2025-11-27 00:00:00,Aprovado,48,0,Diana Maia
2025-11-16 00:00:00,Dyego,2201857,TINTA SPRAY VERDE,12,un,50013125,33363197,2025-11-27 00:00:00,Aprovado,12,0,Diana Maia
2025-11-16 00:00:00,Dyego,5002124,TINTA SPRAY VERMELHO LUMINOSO,12,un,50013125,33363197,2025-11-27 00:00:00,Aprovado,12,0,Diana Maia
2025-11-16 00:00:00,Dyego,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,40,lt,50012127,33363196,2025-11-27 00:00:00,Aprovado,40,0,Diana Maia
2025-11-16 00:00:00,Dyego,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",120,pç,50012127,33363196,2025-11-27 00:00:00,Aprovado,120,0,Diana Maia
2025-11-16 00:00:00,Dyego,2247060,CATALISADOR PARA MASSA DE SILICONE DE CONDENSAÇÃO (NOVO),10,un,50013125,33363197,2025-11-27 00:00:00,Aprovado,10,0,Diana Maia
2025-11-16 00:00:00,Dyego,2247059,MASSA DE SILICONE DE CONDENSAÇÃO,10,kg,50013125,33363197,2025-11-27 00:00:00,Aprovado,10,0,Diana Maia
2025-11-16 00:00:00,Dyego,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,100,pç,50012129,33363198,2025-12-17 00:00:00,Aprovado,100,0,Dyego Ferreira
2025-11-16 00:00:00,Dyego,2210714,MARCADOR IND ESFRROGR DYKEN MEDIO BRANCO (CANETA),120,pç,50012127,33363196,2025-11-27 00:00:00,Aprovado,120,0,Diana Maia
2025-11-16 00:00:00,Dyego,2217817,MARCADOR INDUSTRIAL BRANCO,72,pç,50012127,33363196,2025-11-27 00:00:00,Aprovado,72,0,Diana Maia
2025-12-02 00:00:00,Dyego,2259436,TINTA MARCAÇÃO BRANCA BQ967 RAL9010,5,lt,50012127,33420104,2026-01-21 00:00:00,Aprovado,5,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2196584,TINTA PARA REA-JET 040,20,lt,50012127,33467733,2025-12-29 00:00:00,Aprovado,20,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2217817,MARCADOR INDUSTRIAL BRANCO,36,un,50012127,33467733,2025-12-29 00:00:00,Aprovado,36,0,Diana Maia
2025-12-15 00:00:00,Diego O.,1511467,PILHA ALCALINA AA,24,pç,50012127,33467733,2025-12-29 00:00:00,Aprovado,24,0,Diana Maia
2025-12-15 00:00:00,Diego O.,1751913,PILHA ALCALINA AAA,24,pç,50012127,33467733,2025-12-29 00:00:00,Aprovado,24,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2259436,TINTA MARCAÇÃO BRANCA BQ967 RAL9010,5,pç,50012127,33467733,2025-12-29 00:00:00,Aprovado,5,0,Diana Maia
2025-12-15 00:00:00,Diego O.,5014027,TINTA LUMINOSA VERMELHA 900ml,10,pç,50012127,33467733,2025-12-29 00:00:00,Aprovado,10,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,50,lt,50012127,33467733,2025-12-29 00:00:00,Aprovado,50,0,Diana Maia
2025-12-15 00:00:00,Diego O.,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50012127,33467733,2025-12-29 00:00:00,Aprovado,100,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2196584,TINTA PARA REA-JET 040,20,pç,50013125,33467571,2025-12-29 00:00:00,Aprovado,20,0,Diana Maia
2025-12-15 00:00:00,Diego O.,5011273,LIMPADOR PARA LIXADEIRAS,12,pç,50013125,33467571,2025-12-29 00:00:00,Aprovado,12,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2180855,TINTA SPRAY AMARELO,24,pç,50013125,33467571,2025-12-29 00:00:00,Aprovado,24,0,Diana Maia
2025-12-15 00:00:00,Diego O.,1478150,TINTA SPRAY PRETO,12,pç,50013125,33467571,2025-12-29 00:00:00,Aprovado,12,0,Diana Maia
2025-12-15 00:00:00,Diego O.,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",80,pç,50013125,33467571,2025-12-29 00:00:00,Aprovado,80,0,Diana Maia
2025-12-15 00:00:00,Diego O.,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,100,pç,50012129,33467737,2025-12-16 00:00:00,Aprovado,100,0,Diana Maia
2025-12-26 00:00:00,Diego O.,1478150,TINTA SPRAY PRETO,24,pç,50015127,33520944,,,24,0,
2025-12-26 00:00:00,Diego O.,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50015127,33520944,,,100,0,
2025-12-26 00:00:00,Diego O.,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,100,pç,50012129,33520946,2026-01-08 00:00:00,Aprovado,100,0,Diana Maia
2025-12-26 00:00:00,Diego O.,1511467,PILHA ALCALINA AA,24,pç,50013125,33520947,2025-12-30 00:00:00,Aprovado,24,0,Diana Maia
